Year,"Movie Title",Actor,Kills,"Girls Kissed","Implicitly Slept With (No After Shot)","Explicitly Slept With","Slept With","Enemy Mastermind Believed Bond Dead","Non Human Kills/ Maims/Other","Technological Innovation:","Box Office US Only ($)","Overseas Box Office","Total Box Office","Inflation Adjusted Box Office","Budget ($)","Profitabilty (% of budget recovered)","Audience score","Rotten Tomatoes",Metacritic,,"Budget/Box Office Source:","Alternate Box Office Source:","Other Sources",,,
1962,Dr. No,Connery,5,4,2,1,3,1,Tarantula,,16.067.053,43.500.000,59.567.053,453.305.273,1.100.000,5415,19%,0,78,0,98,---,,http://www.imdb.com/title/tt0055928/,http://boxofficemojo.com/movies/?id=drno.htm,http://www.rottentomatoes.com/m/dr_no/,,,
1963,From Russia With Love,Connery,6,2,3,1,4,0,---,People hadn't seen a pager before,24.796.765,54.100.000,78.896.765,592.514.705,2.000.000,3944,84%,0,79,0,96,---,,http://www.the-numbers.com/movies/1964/0FRLW.php,http://boxofficemojo.com/movies/?id=fromrussiawithlove.htm,http://www.rottentomatoes.com/m/from_russia_with_love/,,,
1964,Goldfinger,Connery,3,4,1,1,2,0,---,first onscreen laser,51.081.062,73.800.000,124.881.062,925.368.669,42,3.000.000,4162,70%,0,83,0,96,---,,http://www.the-numbers.com/movies/1964/0GOFI.php,http://boxofficemojo.com/movies/?id=goldfinger.htm,http://www.rottentomatoes.com/m/goldfinger/,,,
1965,Thunderball,Connery,14,3,0,3,3,0,---,,63.595.658,77.600.000,141.195.658,1.030.728.303,9.000.000,1568,84%,0,7,0,89,---,,http://www.the-numbers.com/movies/1965/0THBA.php,http://boxofficemojo.com/movies/?id=thunderball.htm,http://www.rottentomatoes.com/m/thunderball/,,,
1967,You Only Live Twice,Connery,17,4,2,0,2,1,---,Car videophone, woah!,43.084.787,68.500.000,111.584.787,767.703.335,9.500.000,1174,58%,0,69,0,7,---,,http://www.the-numbers.com/movies/1967/0YOLT.php,http://boxofficemojo.com/movies/?id=youonlylivetwice.htm,http://www.rottentomatoes.com/m/you_only_live_twice/,,,
1969,On Her Majesty's Secret Service,Lazenby,6,3,2,1,3,1,---,,22.774.493,59.200.000,81.974.493,513.160.326,8.000.000,1024,68%,0,62,0,82,---,,http://www.the-numbers.com/movies/1969/0OHMS.php,http://boxofficemojo.com/movies/?id=onhermajestyssecretservice.htm,http://www.rottentomatoes.com/m/on_her_majestys_secret_service/,,,
1971,Diamonds Are Forever,Connery,6,1,1,0,1,2,---,,43.819.547,72.200.000,116.019.547,657.830.831,7.200.000,1611,38%,0,63,0,67,---,,http://www.the-numbers.com/movies/1971/0DAFE.php,http://boxofficemojo.com/movies/?id=diamondsareforever.htm,http://www.rottentomatoes.com/m/diamonds_are_forever/,,,
1973,Live and Let Die,Moore,4,2,0,3,3,0,Snake,,35.377.836,126.400.000,161.777.836,838.009.190,7.000.000,2311,11%,0,66,0,64,---,,http://www.the-numbers.com/movies/1973/0LALD.php,http://boxofficemojo.com/movies/?id=liveandletdie.htm,http://www.rottentomatoes.com/m/live_and_let_die/,,,
1974,The Man with the Golden Gun,Moore,1,3,2,0,2,0,---,,20.972.000,76.600.000,97.572.000,454.685.520,7.000.000,1393,89%,0,62,0,52,---,,http://www.the-numbers.com/movies/1974/0MWGG.php,http://boxofficemojo.com/movies/?id=manwiththegoldengun.htm,http://www.rottentomatoes.com/m/man_with_the_golden_gun/,,,
1977,The Spy Who Loved Me,Moore,11,3,0,2,2,0,---,,46.838.673,138.600.000,185.438.673,702.812.571,14.000.000,1324,56%,0,71,0,79,---,,http://www.the-numbers.com/movies/1977/0SWLM.php,http://boxofficemojo.com/movies/?id=spywholovedme.htm,http://www.rottentomatoes.com/m/spy_who_loved_me/,,,
